ID	CODE	NUMBER	STRING	DATE
49	ZATFDG	1103	ENJVNHGCFZK	12/9/1996
50	TPQZRZ	3457	TIYKETEFQCS	19/1/1961
51	KYHBXX	1623	NTDUXDWCKFW	7/2/2010
52	APQSGU	2004	OYWHPSSAFAP	23/6/1997
53	LPDIXT	6015	SUDHUTFESFY	20/4/1980
54	TVSSYD	1151	KCGNOGUNOXJ	1/5/2012
55	VUJPWS	2850	NDNDMDECXKC	16/7/1971
56	BXSQRV	7618	ILGREOPSBAP	14/4/1987
57	RYENNC	4479	PMUKKMQBBEJ	13/6/2004
58	LWZSZH	5646	OSZTLWECBEN	21/11/1992
59	NTTMDG	9581	AQRYUMAWQIY	7/7/1990
60	ZUDWIV	9672	ETEIOCJRTPJ	7/3/1992
61	BDUTYO	4976	FEWXUQZPOSD	1/7/1961
62	FGSIKT	5510	IMZADVHBMIS	15/1/1987
63	LBHCAA	7286	WHLGPDYVDWB	16/4/1982
64	CDENIQ	7519	XIVYXUTJZJE	3/11/2004
65	RASJSN	1165	FXUDJUTFUEO	16/9/1967
66	ZDKHKS	6951	TZGNCRLLGRR	1/2/1992
67	VPKMCX	1775	WTVVAYPTYMG	1/3/2012
68	QQAHOW	4250	ZFZCCKLWLOZ	18/2/1985
69	WVQUQX	8156	XKHNARVGHEU	13/2/1976
70	IEKAED	1885	JDGDPHIVAVL	23/12/1984
71	UDWYCR	1346	ZZRBBCHYHQD	20/10/1977
72	SQCUUL	5417	VCFGQFHMRCI	2/5/2016
73	NICLTJ	1562	HGBXQMQQEAP	1/2/2004
74	LBFUKM	4439	NKPANYKDJSH	20/5/1972
75	KSOXJP	1086	OOEGJDXNBML	20/7/1973
76	GAXIBG	9225	DKWBFBCMYLY	22/3/1975
77	FLYVNE	9210	ZFMWKTCEIIZ	17/10/2014
78	KDYKRV	6483	AERBANAZPOR	3/4/2005
79	ZGKNQX	3324	BOUBBLWUYRW	23/6/2009
80	ZIXJYJ	1613	CLZDQMKONDN	8/8/1981
81	VDIJOH	2052	UQOWEIJNTLR	23/3/1963
82	NGHKLJ	1089	IOGOGNPJUCW	22/2/1980
83	JSQXFT	2296	LHZGRBUNKNW	19/1/1992
84	DLTVDU	7911	UYTFQBVSAAV	4/4/1985
85	RBYYSH	4387	MAGVSJYAFBT	15/10/1962
86	FSGJGL	5091	FCHFFWZLNHR	14/8/1987
87	JKFPCD	1290	SMELBGGMBAY	1/3/2009
88	QMQNOL	2578	VZTUCHDMYNT	11/5/1999
89	ZYSUBA	6653	TOVVWSEIXRF	4/9/1991
90	NVGQXY	8083	SSQTEUYYBMI	4/2/2011
91	JTIRBA	5498	JZLGGNSWTZW	9/7/2008
92	WOXKCH	5539	MYAMGBCEPYR	14/3/1994
93	GPXZNJ	6657	ZVOPQMPCHRQ	23/6/1971
94	USZRXJ	4536	OESEYVZMBOZ	1/1/1964
95	JXZRNS	3107	JNEAUIWRYMZ	21/9/2003
96	RCOOOI	3083	RGRKBXXIUXP	19/7/1960
97	KBOUAH	5420	YTFUDTVDVJJ	19/5/1975
98	QFXRZQ	5885	YXESOZHOZIX	2/7/1967
99	PNHETG	7581	AINZEVJIHJZ	4/7/1986
100	HKHVNT	8937	BKWBTRPIRGC	14/12/1975
